"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-03-29 12:45:00,1014.40,39.0,31.8,75,0,119,1013.94,37.9,32.6,81,,249
2020-03-29 12:50:00,1014.30,38.0,31.1,76,0,115,1012.81,37.9,32.6,81,,249
2020-03-29 12:55:00,1014.30,38.0,31.4,76,1,162,1012.68,37.9,32.6,81,,248
2020-03-29 13:00:00,1014.10,38.0,32.1,79,0,191,,,,,,
2020-03-29 13:15:00,1013.80,38.0,32.7,81,1,143,,,,,,
2020-03-29 13:30:00,1013.40,38.0,33.3,82,0,239,,,,,,
2020-03-29 13:45:00,1012.80,38.0,33.6,83,1,252,,,,,,
2020-03-29 14:00:00,1012.20,38.0,33.9,85,1,215,,,,,,
2020-03-29 14:15:00,1012.30,38.0,33.9,85,0,117,,,,,,
2020-03-29 14:30:00,1012.20,39.0,34.9,84,1,107,,,,,,
2020-03-29 14:45:00,1011.70,38.0,34.5,86,0,238,,,,,,
2020-03-29 15:00:00,1011.40,38.0,34.8,88,1,108,,,,,,
2020-03-29 15:15:00,1011.10,38.0,35.0,88,1,192,,,,,,
2020-03-29 15:30:00,1010.80,38.0,35.3,89,1,325,,,,,,
2020-03-29 15:45:00,1010.30,38.0,35.3,89,1,238,,,,,,
2020-03-29 16:00:00,1009.90,38.0,35.3,89,1,124,,,,,,
2020-03-29 16:15:00,1009.30,38.0,35.6,90,1,107,,,,,,
2020-03-29 16:30:00,1009.00,38.0,35.6,90,1,186,,,,,,
2020-03-29 16:45:00,1008.40,38.0,35.6,90,2,121,,,,,,
2020-03-29 17:00:00,1008.10,38.0,35.6,90,1,279,,,,,,
2020-03-29 17:16:00,1007.90,39.0,36.6,91,1,111,,,,,,
2020-03-29 17:30:00,1007.70,39.0,36.6,91,1,355,,,,,,
2020-03-29 17:45:00,1007.10,39.0,36.6,91,1,5,,,,,,
2020-03-29 18:00:00,1006.40,39.0,36.6,91,1,46,,,,,,
2020-03-29 18:15:00,1006.40,39.0,36.6,91,2,269,,,,,,
2020-03-29 18:30:00,1005.50,39.0,36.9,92,1,72,,,,,,
2020-03-29 18:45:00,1005.30,39.0,36.9,92,1,193,,,,,,
2020-03-29 19:00:00,1005.00,40.0,37.9,92,2,264,,,,,,
2020-03-29 19:15:00,1004.90,40.0,37.9,92,2,47,,,,,,
2020-03-29 19:30:00,1005.00,40.0,37.9,92,1,119,,,,,,
2020-03-29 19:45:00,1004.90,40.0,37.9,92,1,55,,,,,,
2020-03-29 20:00:00,1005.20,41.0,38.9,92,1,19,,,,,,
2020-03-29 20:15:00,1005.20,41.0,38.9,92,0,317,,,,,,
2020-03-29 20:30:00,1005.40,41.0,38.9,92,1,51,,,,,,
2020-03-29 20:46:00,1005.50,41.0,38.9,92,0,174,,,,,,
2020-03-29 21:00:00,1005.40,41.0,38.9,92,1,140,,,,,,
2020-03-29 21:15:00,1005.50,41.0,38.9,92,0,20,,,,,,
2020-03-29 21:30:00,1005.50,41.0,38.9,92,0,36,,,,,,
2020-03-29 21:45:00,1005.60,41.0,38.9,92,1,178,,,,,,
2020-03-29 22:00:00,1005.80,41.0,39.1,92,0,17,,,,,,
2020-03-29 22:15:00,1005.60,41.0,38.9,92,1,97,,,,,,
2020-03-29 22:30:00,1006.30,41.0,38.9,92,2,157,,,,,,
2020-03-29 22:45:00,1006.00,41.0,38.9,92,1,205,,,,,,
2020-03-29 23:00:00,1004.50,41.0,38.9,92,1,323,,,,,,
2020-03-29 23:15:00,1006.40,41.0,38.9,92,0,132,,,,,,
2020-03-29 23:30:00,1006.80,41.0,38.9,92,1,152,,,,,,
2020-03-29 23:45:00,1006.80,41.0,38.9,92,1,69,,,,,,
2020-03-30 00:16:00,1007.30,41.0,38.9,92,0,98,,,,,,
2020-03-30 00:30:00,1007.60,41.0,38.9,92,0,215,,,,,,
2020-03-30 00:40:00,1007.50,41.0,38.9,92,0,0,1006.89,39.8,38.5,95,,221
2020-03-30 00:46:00,1007.30,40.0,37.9,92,0,130,1007.18,39.8,38.5,95,,249
2020-03-30 00:50:00,1007.00,40.0,37.9,92,0,154,1006.01,39.8,38.5,95,,248
2020-03-30 00:55:00,1006.90,40.0,37.9,92,1,128,1005.67,39.8,38.5,95,,248
2020-03-30 01:01:00,1007.00,40.0,37.9,92,0,99,,,,,,
2020-03-30 01:15:00,1007.40,40.0,38.1,92,0,208,,,,,,
2020-03-30 01:31:00,1007.80,40.0,38.1,92,0,62,,,,,,
2020-03-30 01:40:00,1007.40,40.0,38.1,92,0,0,1007.49,39.5,38.4,95,,221
2020-03-30 01:45:00,1007.40,40.0,38.1,92,0,0,1007.49,39.5,38.4,95,,219
2020-03-30 01:50:00,1007.60,40.0,38.1,92,0,0,1006.15,39.5,38.4,95,,219
2020-03-30 01:55:00,1007.60,40.0,38.1,92,0,143,1006.15,39.5,38.4,95,,248
2020-03-30 02:00:00,1007.60,40.0,38.1,92,0,56,,,,,,
2020-03-30 02:15:00,1007.40,40.0,38.1,92,0,55,,,,,,
2020-03-30 02:30:00,1007.30,40.0,38.1,92,0,57,,,,,,
2020-03-30 02:40:00,1007.20,40.0,38.1,92,0,127,1007.39,39.2,38.0,95,,249
2020-03-30 02:45:00,1007.30,40.0,38.1,92,0,148,1007.39,39.2,38.0,95,,249
2020-03-30 02:50:00,1007.30,40.0,38.1,92,0,0,1007.39,39.2,38.0,95,,219
2020-03-30 02:55:00,1007.30,40.0,38.1,92,0,51,1007.39,39.2,38.0,95,,248
2020-03-30 03:00:00,1007.40,40.0,38.1,92,0,103,,,,,,
2020-03-30 03:16:00,1007.30,40.0,38.1,92,0,100,,,,,,
2020-03-30 03:30:00,1007.20,40.0,38.1,92,0,73,,,,,,
2020-03-30 03:40:00,1007.10,40.0,38.4,93,0,227,1007.07,40.0,39.6,98,,249
2020-03-30 03:45:00,1007.10,40.0,38.4,93,1,123,,,,,,
2020-03-30 03:46:00,1007.20,40.0,38.4,93,1,123,1007.07,40.0,39.6,98,,247
2020-03-30 03:50:00,1007.10,40.0,38.4,93,1,114,1007.07,40.0,39.6,98,,249
2020-03-30 03:55:00,1007.50,40.0,38.4,93,0,0,1007.07,40.0,39.6,98,,219
2020-03-30 04:00:00,1007.30,40.0,38.4,93,1,138,,,,,,
2020-03-30 04:15:00,1007.10,40.0,38.4,93,0,100,,,,,,
2020-03-30 04:30:00,1007.30,40.0,38.4,93,0,122,,,,,,
2020-03-30 04:40:00,1007.50,40.0,38.4,93,0,0,1007.64,41.3,40.1,95,,220
2020-03-30 04:45:00,1007.60,40.0,38.4,93,0,54,,,,,,
2020-03-30 04:46:00,1007.70,40.0,38.4,93,0,0,1007.64,41.3,40.1,95,,219
2020-03-30 04:50:00,1007.80,41.0,39.4,94,0,0,1007.64,41.3,40.1,95,,219
2020-03-30 04:55:00,1007.80,41.0,39.4,94,0,0,1007.60,41.3,40.1,95,,219
2020-03-30 05:00:00,1007.70,41.0,39.4,94,0,54,,,,,,
2020-03-30 05:15:00,1007.80,41.0,39.4,94,0,54,,,,,,
2020-03-30 05:30:00,1008.00,41.0,39.4,94,0,54,,,,,,
2020-03-30 05:40:00,1008.10,42.0,40.4,93,0,0,1008.22,41.2,40.0,95,,220
2020-03-30 05:45:00,1008.20,42.0,40.4,93,0,54,,,,,,
2020-03-30 05:47:00,1008.30,42.0,40.4,93,0,0,1008.37,41.2,40.0,95,,219
2020-03-30 05:50:00,1008.30,42.0,40.4,93,0,0,1008.37,41.2,40.0,95,,221
2020-03-30 05:55:00,1008.40,42.0,40.4,93,0,0,1008.37,41.2,40.0,95,,221
2020-03-30 06:00:00,1008.30,42.0,40.4,93,0,54,,,,,,
2020-03-30 06:16:00,1008.20,43.0,41.4,93,0,54,,,,,,
2020-03-30 06:30:00,1008.00,44.0,42.4,94,0,54,,,,,,
2020-03-30 06:40:00,1008.00,43.0,41.4,93,0,0,1007.91,41.4,40.3,95,,220
2020-03-30 06:45:00,1007.80,44.0,42.4,94,0,0,1007.91,41.4,40.3,95,,219
2020-03-30 06:50:00,1007.60,44.0,42.4,94,0,0,1007.91,41.4,40.3,95,,219
2020-03-30 06:55:00,1007.80,44.0,42.4,94,0,0,1007.91,41.4,40.3,95,,219
2020-03-30 07:00:00,1007.70,44.0,42.4,94,0,54,,,,,,
2020-03-30 07:15:00,1007.80,44.0,42.4,94,0,54,,,,,,
2020-03-30 07:30:00,1007.90,43.0,41.4,93,0,54,,,,,,
2020-03-30 07:40:00,1007.80,43.0,41.4,93,0,0,1007.66,40.8,39.9,96,,220
2020-03-30 07:45:00,1007.70,43.0,41.4,93,0,54,,,,,,
2020-03-30 07:46:00,1007.80,43.0,41.4,93,0,0,1007.66,40.8,39.9,96,,218
2020-03-30 07:50:00,1007.80,43.0,41.4,93,0,0,1006.51,40.8,39.9,96,,219
2020-03-30 07:55:00,1007.70,43.0,41.4,93,0,0,1006.53,40.8,39.9,96,,219
2020-03-30 08:00:00,1007.60,43.0,41.4,93,0,54,,,,,,
2020-03-30 08:15:00,1007.60,42.0,40.4,93,0,54,,,,,,
2020-03-30 08:30:00,1007.80,42.0,40.4,93,0,54,,,,,,
2020-03-30 08:40:00,1007.70,42.0,40.4,93,0,0,1007.89,40.5,39.1,94,,220
2020-03-30 08:45:00,1007.80,42.0,40.4,93,0,54,,,,,,
2020-03-30 08:47:00,1007.80,42.0,40.4,93,0,0,1007.89,40.5,39.1,94,,219
2020-03-30 08:50:00,1007.80,42.0,40.4,93,0,0,1007.89,40.5,39.1,94,,219
2020-03-30 08:55:00,1007.60,42.0,40.4,93,0,0,1007.89,40.5,39.1,94,,219
2020-03-30 09:00:00,1007.70,42.0,40.4,93,0,54,,,,,,
2020-03-30 09:15:00,1007.70,42.0,40.4,93,0,54,,,,,,
2020-03-30 09:30:00,1007.80,42.0,40.4,93,0,54,,,,,,
2020-03-30 09:40:00,1007.70,42.0,40.4,93,0,54,1007.70,39.8,38.3,94,,249
2020-03-30 09:45:00,1007.70,42.0,40.4,93,0,54,,,,,,
2020-03-30 09:46:00,1007.80,42.0,40.4,93,0,0,1007.70,39.8,38.3,94,,219
2020-03-30 09:50:00,1007.90,42.0,40.4,93,0,0,1006.34,39.8,38.3,94,,219
2020-03-30 09:55:00,1007.90,42.0,40.4,93,0,0,1006.34,39.8,38.3,94,,219
2020-03-30 10:00:00,1007.90,41.0,39.4,94,0,54,,,,,,
2020-03-30 10:15:00,1008.00,42.0,40.4,93,0,54,,,,,,
2020-03-30 10:30:00,1008.00,42.0,40.4,93,0,54,,,,,,
2020-03-30 10:41:00,1008.00,42.0,40.4,93,0,0,1007.85,39.8,38.4,94,,231
2020-03-30 10:45:00,1008.00,42.0,40.4,93,0,54,,,,,,
2020-03-30 10:46:00,1008.10,42.0,40.4,93,0,0,1008.06,39.8,38.4,94,,219
2020-03-30 10:50:00,1008.10,42.0,40.4,93,0,0,1006.71,39.8,38.4,94,,219
2020-03-30 10:55:00,1008.10,42.0,40.4,93,0,0,1006.71,39.8,38.4,94,,219
2020-03-30 11:00:00,1008.20,42.0,40.4,93,0,54,,,,,,
2020-03-30 11:15:00,1008.40,42.0,40.4,93,0,54,,,,,,
2020-03-30 11:30:00,1008.50,41.0,39.4,94,0,54,,,,,,
2020-03-30 11:40:00,1008.60,41.0,39.4,94,0,0,1008.38,40.1,38.7,94,,220
2020-03-30 11:45:00,1008.60,41.0,39.4,94,0,54,,,,,,
2020-03-30 11:46:00,1008.70,41.0,39.4,94,0,0,1008.38,40.1,38.7,94,,218
2020-03-30 11:50:00,1008.70,41.0,39.4,94,0,0,1008.38,40.1,38.7,94,,218
2020-03-30 11:55:00,1008.70,41.0,39.4,94,0,0,1008.38,40.1,38.7,94,,218
2020-03-30 12:01:00,1008.80,41.0,39.4,94,0,54,,,,,,
2020-03-30 12:15:00,1008.90,41.0,39.4,94,0,54,,,,,,
2020-03-30 12:30:00,1009.00,41.0,39.4,94,0,54,,,,,,
2020-03-30 12:40:00,1009.00,41.0,39.4,94,0,0,1008.58,40.5,39.1,94,,221
2020-03-30 12:45:00,1009.00,41.0,39.4,94,0,54,,,,,,
2020-03-30 12:46:00,1009.00,41.0,39.4,94,0,0,1008.58,40.5,39.1,94,,219
2020-03-30 12:50:00,1008.90,41.0,39.4,94,0,0,1007.20,40.5,39.1,94,,219
2020-03-30 12:55:00,1009.00,41.0,39.4,94,0,0,1007.47,40.5,39.1,94,,219
2020-03-30 13:00:00,1008.90,41.0,39.4,94,0,54,,,,,,
2020-03-30 13:15:00,1009.10,41.0,39.4,94,0,54,,,,,,
2020-03-30 13:30:00,1009.20,42.0,40.7,94,0,54,,,,,,
2020-03-30 13:45:00,1009.20,42.0,40.4,93,0,54,,,,,,
2020-03-30 14:00:00,1009.20,43.0,41.7,95,0,54,,,,,,
2020-03-30 14:15:00,1009.30,43.0,41.4,93,0,54,,,,,,
2020-03-30 14:30:00,1009.30,43.0,41.7,95,0,54,,,,,,
2020-03-30 14:45:00,1009.30,44.0,42.7,94,0,54,,,,,,
2020-03-30 15:00:00,1009.40,44.0,42.4,94,0,54,,,,,,
2020-03-30 15:15:00,1009.60,45.0,43.4,94,0,54,,,,,,
2020-03-30 15:30:00,1009.60,45.0,43.4,94,0,54,,,,,,
2020-03-30 15:46:00,1009.70,46.0,44.4,93,0,54,,,,,,
2020-03-30 16:00:00,1009.60,46.0,44.1,92,0,54,,,,,,
2020-03-30 16:15:00,1009.70,46.0,44.1,92,0,54,,,,,,
2020-03-30 16:30:00,1009.80,47.0,44.8,92,0,54,,,,,,
2020-03-30 16:45:00,1009.90,47.0,44.5,90,0,54,,,,,,
2020-03-30 17:00:00,1009.90,47.0,44.5,90,0,54,,,,,,
2020-03-30 17:15:00,1010.10,47.0,44.5,90,0,54,,,,,,
2020-03-30 17:30:00,1010.20,46.0,43.8,92,0,57,,,,,,
2020-03-30 17:45:00,1010.30,46.0,43.8,92,0,59,,,,,,
2020-03-30 18:00:00,1010.40,46.0,44.1,92,0,59,,,,,,
2020-03-30 18:15:00,1010.50,45.0,42.8,92,1,63,,,,,,
2020-03-30 18:31:00,1010.60,45.0,42.8,92,0,53,,,,,,
2020-03-30 18:45:00,1010.60,46.0,44.1,92,0,57,,,,,,
2020-03-30 19:00:00,1010.70,45.0,43.1,93,1,51,,,,,,
2020-03-30 19:15:00,1010.90,45.0,43.1,93,0,57,,,,,,
2020-03-30 19:30:00,1010.90,45.0,43.1,93,1,65,,,,,,
2020-03-30 19:45:00,1011.10,44.0,42.1,93,1,57,,,,,,
2020-03-30 20:01:00,1011.30,44.0,42.1,93,0,53,,,,,,
2020-03-30 20:15:00,1011.40,44.0,42.1,93,0,98,,,,,,
2020-03-30 20:30:00,1011.70,44.0,42.1,93,0,68,,,,,,
2020-03-30 20:45:00,1011.60,43.0,41.1,93,0,119,,,,,,
2020-03-30 21:00:00,1011.90,43.0,41.1,93,0,121,,,,,,
2020-03-30 21:15:00,1012.00,43.0,41.1,93,1,138,,,,,,
2020-03-30 21:30:00,1012.30,42.0,40.1,92,0,338,,,,,,
2020-03-30 21:45:00,1012.50,42.0,40.1,92,0,81,,,,,,
2020-03-30 22:00:00,1012.90,42.0,39.9,92,0,42,,,,,,
2020-03-30 22:15:00,1013.20,41.0,39.1,92,0,60,,,,,,
2020-03-30 22:30:00,1013.40,41.0,38.9,92,0,82,,,,,,
2020-03-30 22:45:00,1013.60,41.0,39.1,92,0,56,,,,,,
2020-03-30 23:00:00,1013.80,41.0,39.1,92,1,22,,,,,,
2020-03-30 23:16:00,1014.10,40.0,38.1,92,0,93,,,,,,
2020-03-30 23:30:00,1014.20,40.0,38.1,92,0,130,,,,,,
2020-03-30 23:45:00,1014.50,40.0,38.1,92,0,126,,,,,,
2020-03-31 00:01:00,1014.80,39.0,37.1,92,0,0,1014.19,38.4,37.6,96,5.4,44
2020-03-31 00:05:00,1014.80,39.0,37.1,92,0,0,1014.19,38.4,37.6,96,5.4,44
2020-03-31 00:10:00,1014.90,39.0,37.1,92,0,129,1014.19,38.4,37.6,96,5.4,73
2020-03-31 00:15:00,1015.00,39.0,37.1,92,0,60,1014.19,38.4,37.6,96,5.4,73
2020-03-31 00:20:00,1015.10,39.0,37.1,92,0,90,1014.19,38.4,37.6,96,5.4,73
2020-03-31 00:25:00,1015.10,39.0,37.1,92,0,55,1014.19,38.4,37.6,96,5.4,73
2020-03-31 00:30:00,1015.20,39.0,37.1,92,1,338,,,,,,
2020-03-31 00:31:00,1015.20,39.0,37.1,92,0,338,1014.19,38.4,37.6,96,5.4,73
2020-03-31 00:35:00,1015.30,39.0,37.1,92,0,0,1014.19,38.4,37.6,96,5.4,44
2020-03-31 00:40:00,1015.30,39.0,37.1,92,0,65,1015.39,37.5,37.0,97,5.4,66
2020-03-31 00:45:00,1015.40,39.0,37.1,92,0,129,1015.36,37.5,37.0,97,5.4,66
2020-03-31 00:50:00,1015.50,39.0,37.1,92,0,103,1015.36,37.5,37.0,97,5.4,66
2020-03-31 00:55:00,1015.60,39.0,37.1,92,0,55,1015.24,37.5,37.0,97,5.4,66
2020-03-31 01:01:00,1015.70,39.0,37.1,92,0,71,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:05:00,1015.70,39.0,37.1,92,0,155,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:10:00,1015.80,39.0,37.1,92,0,103,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:16:00,1015.90,39.0,37.1,92,0,24,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:20:00,1016.10,39.0,37.1,92,0,0,1015.10,37.5,37.0,97,5.4,37
2020-03-31 01:25:00,1016.10,39.0,37.1,92,0,0,1015.10,37.5,37.0,97,5.4,37
2020-03-31 01:31:00,1016.10,38.0,35.9,92,0,138,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:35:00,1016.00,38.0,36.2,92,0,63,1015.10,37.5,37.0,97,5.4,66
2020-03-31 01:40:00,1016.10,38.0,36.2,92,0,0,1016.08,36.8,35.7,95,4.8,39
2020-03-31 01:45:00,1016.10,38.0,36.2,93,0,136,,,,,,
2020-03-31 01:46:00,1016.10,38.0,36.2,92,0,136,1016.05,36.8,35.7,95,4.8,69
2020-03-31 01:50:00,1016.30,38.0,36.2,92,0,0,1016.05,36.8,35.7,95,4.8,39
2020-03-31 01:55:00,1016.30,38.0,36.2,92,1,122,1016.01,36.8,35.7,95,4.8,69
2020-03-31 02:00:00,1016.40,38.0,36.2,92,0,319,1016.01,36.8,35.7,95,4.8,69
2020-03-31 02:05:00,1016.40,38.0,36.2,92,0,229,1016.01,36.8,35.7,95,4.8,69
2020-03-31 02:10:00,1016.50,38.0,36.2,92,0,119,1016.01,36.8,35.7,95,4.8,69
2020-03-31 02:15:00,1016.60,38.0,36.2,92,0,136,1016.26,36.8,35.7,95,4.8,69
2020-03-31 02:20:00,1016.60,38.0,36.2,92,0,103,1016.26,36.8,35.7,95,4.8,69
2020-03-31 02:25:00,1016.60,38.0,36.2,92,0,36,1016.26,36.8,35.7,95,4.8,69
2020-03-31 02:30:00,1016.70,38.0,36.2,93,0,82,,,,,,
2020-03-31 02:32:00,1016.70,38.0,36.2,92,0,82,1014.87,36.8,35.7,95,4.8,69
2020-03-31 02:35:00,1016.60,38.0,36.2,92,0,199,1014.87,36.8,35.7,95,4.8,69
2020-03-31 02:40:00,1016.70,38.0,35.9,92,0,49,1016.19,36.5,34.9,94,4.8,65
2020-03-31 02:45:00,1016.70,38.0,35.9,92,0,115,,,,,,
2020-03-31 02:48:00,1016.80,38.0,35.9,92,0,115,1016.34,36.5,34.9,94,4.8,65
2020-03-31 02:50:00,1016.70,38.0,35.9,92,1,134,1016.19,36.5,34.9,94,4.8,65
2020-03-31 02:55:00,1016.70,38.0,35.9,92,0,26,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:02:00,1016.80,37.0,34.9,92,1,119,1016.19,36.5,34.9,94,4.8,65
2020-03-31 03:05:00,1016.70,37.0,34.9,92,1,69,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:10:00,1016.80,37.0,34.9,92,1,77,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:15:00,1016.80,37.0,34.9,92,1,311,,,,,,
2020-03-31 03:16:00,1016.90,37.0,34.9,92,0,311,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:20:00,1016.90,37.0,34.9,92,1,111,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:25:00,1017.00,37.0,34.9,92,0,66,1016.34,36.5,34.9,94,4.8,65
2020-03-31 03:30:00,1017.10,37.0,34.9,92,1,61,1016.35,36.5,34.9,94,4.8,65
2020-03-31 03:35:00,1017.00,37.0,34.9,92,1,108,1015.18,36.5,34.9,94,4.8,65
2020-03-31 03:40:00,1017.00,37.0,34.9,92,1,130,1016.76,35.5,34.1,94,4.7,66
2020-03-31 03:45:00,1017.20,37.0,34.9,92,0,119,1016.75,35.5,34.1,94,4.7,66
2020-03-31 03:50:00,1017.10,37.0,34.9,92,0,229,1016.75,35.5,34.1,94,4.7,66
2020-03-31 03:55:00,1017.20,37.0,34.9,92,0,32,1016.70,35.5,34.1,94,4.7,66
2020-03-31 04:01:00,1017.30,37.0,34.9,92,1,190,1016.75,35.5,34.1,94,4.7,66
2020-03-31 04:05:00,1017.30,37.0,34.9,92,0,0,1016.73,35.5,34.1,94,4.7,37
2020-03-31 04:10:00,1017.40,37.0,34.9,92,0,61,1016.73,35.5,34.1,94,4.7,66
2020-03-31 04:15:00,1017.40,37.0,34.9,92,0,87,1016.70,35.5,34.1,94,4.7,66
2020-03-31 04:20:00,1017.40,37.0,34.9,92,0,112,1016.70,35.5,34.1,94,4.7,66
2020-03-31 04:25:00,1017.40,37.0,34.9,92,0,80,1016.70,35.5,34.1,94,4.7,66
2020-03-31 04:30:00,1017.30,37.0,34.9,92,1,55,,,,,,
2020-03-31 04:31:00,1017.40,37.0,34.9,92,1,55,1016.70,35.5,34.1,94,4.7,66
2020-03-31 04:35:00,1017.40,37.0,34.6,90,1,160,1016.91,35.5,34.1,94,4.7,66
2020-03-31 04:40:00,1017.40,37.0,34.6,90,0,87,1017.46,35.3,33.8,94,5.1,67
2020-03-31 04:45:00,1017.60,37.0,34.6,90,0,0,1017.46,35.3,31.9,87,5.1,37
2020-03-31 04:50:00,1017.60,37.0,34.6,90,1,90,1017.46,35.3,31.9,87,5.1,67
2020-03-31 04:55:00,1017.70,37.0,34.6,90,0,163,1017.46,35.3,31.9,87,5.1,67
2020-03-31 05:00:00,1017.70,37.0,34.6,90,0,120,1017.46,35.3,31.9,87,5.1,67
2020-03-31 05:05:00,1017.70,37.0,34.6,90,0,0,1017.64,35.3,31.9,87,5.1,37
2020-03-31 05:10:00,1017.70,37.0,34.6,90,1,70,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:15:00,1017.80,36.0,33.6,90,1,173,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:20:00,1017.80,36.0,33.6,90,1,82,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:25:00,1017.90,36.0,33.6,90,0,59,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:30:00,1018.00,36.0,33.6,90,1,116,,,,,,
2020-03-31 05:31:00,1018.00,36.0,33.6,90,1,116,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:35:00,1018.10,36.0,33.6,90,0,80,1017.64,35.3,31.9,87,5.1,67
2020-03-31 05:40:00,1018.10,36.0,33.6,90,0,248,1018.00,34.8,33.0,93,5.0,64
2020-03-31 05:45:00,1018.10,36.0,33.6,90,0,23,,,,,,
2020-03-31 05:46:00,1018.10,36.0,33.6,90,0,23,1018.00,34.8,33.0,93,5.0,64
2020-03-31 05:50:00,1018.00,36.0,33.6,90,0,144,1017.99,34.8,33.0,93,5.0,64
2020-03-31 05:55:00,1018.10,36.0,33.9,92,0,59,1017.94,34.8,33.0,93,5.0,64
2020-03-31 06:00:00,1018.10,36.0,33.9,92,0,69,1017.99,34.8,33.0,93,5.0,64
2020-03-31 06:05:00,1018.10,36.0,33.9,92,0,115,1017.95,34.8,33.0,93,5.0,64
2020-03-31 06:10:00,1018.20,36.0,33.9,92,2,32,1017.95,34.8,33.0,93,5.0,64
2020-03-31 06:15:00,1018.10,36.0,33.6,90,1,45,,,,,,
2020-03-31 06:16:00,1018.20,36.0,33.6,90,0,45,1017.94,34.8,33.0,93,5.0,64
2020-03-31 06:20:00,1018.30,36.0,33.6,90,1,85,1017.94,34.8,33.0,93,5.0,64
2020-03-31 06:25:00,1018.30,36.0,33.6,90,3,74,1017.95,34.8,33.0,93,5.0,64
